==== LOG START ====
[1763917961063 ms] VEL 0.000 0.000
[1763917961084 ms] POS 50.000 50.000
[1763917961084 ms] VEL 0.000 0.000
[1763917961105 ms] POS 50.000 50.000
[1763917961106 ms] VEL 0.000 0.000
[1763917961127 ms] POS 50.000 50.000
[1763917961128 ms] VEL 0.000 0.000
[1763917961150 ms] POS 50.000 50.000
[1763917961150 ms] VEL 0.000 0.000
[1763917961172 ms] POS 50.000 50.000
[1763917961173 ms] VEL 0.000 0.000
[1763917961194 ms] POS 50.000 50.000
[1763917961195 ms] VEL 0.000 0.000
[1763917961216 ms] POS 50.000 50.000
[1763917961217 ms] VEL 0.000 0.000
[1763917961238 ms] POS 50.000 50.000
[1763917961238 ms] VEL 0.000 0.000
[1763917961261 ms] POS 50.000 50.000
[1763917961262 ms] VEL 0.000 0.000
[1763917961283 ms] POS 50.000 50.000
[1763917961283 ms] VEL 0.000 0.000
[1763917961304 ms] POS 50.000 50.000
[1763917961305 ms] VEL 0.000 0.000
[1763917961326 ms] POS 50.000 50.000
[1763917961326 ms] VEL 0.000 0.000
[1763917961347 ms] POS 50.000 50.000
[1763917961348 ms] VEL 0.000 0.000
[1763917961369 ms] POS 50.000 50.000
[1763917961370 ms] VEL 0.000 0.000
[1763917961392 ms] POS 50.000 50.000
[1763917961393 ms] VEL 0.000 0.000
[1763917961414 ms] POS 50.000 50.000
[1763917961414 ms] VEL 0.000 0.000
[1763917961435 ms] POS 50.000 50.000
[1763917961435 ms] VEL 0.000 0.000
[1763917961456 ms] POS 50.000 50.000
[1763917961456 ms] VEL 0.000 0.000
[1763917961477 ms] POS 50.000 50.000
[1763917961477 ms] VEL 0.000 0.000
[1763917961499 ms] POS 50.000 50.000
[1763917961499 ms] VEL 0.000 0.000
[1763917961520 ms] POS 50.000 50.000
[1763917961520 ms] VEL 0.000 0.000
[1763917961542 ms] POS 50.000 50.000
[1763917961542 ms] VEL 0.000 0.000
[1763917961563 ms] POS 50.000 50.000
[1763917961564 ms] VEL 0.000 0.000
[1763917961585 ms] POS 50.000 50.000
[1763917961586 ms] VEL 0.000 0.000
[1763917961607 ms] POS 50.000 50.000
[1763917961608 ms] VEL 0.000 0.000
[1763917961629 ms] POS 50.000 50.000
[1763917961629 ms] VEL 0.000 0.000
[1763917961650 ms] POS 50.000 50.000
[1763917961651 ms] VEL 0.000 0.000
[1763917961672 ms] POS 50.000 50.000
[1763917961672 ms] VEL 0.000 0.000
[1763917961693 ms] POS 50.000 50.000
[1763917961694 ms] VEL 0.000 0.000
